"DEUTSCHEpapier Trendcolor hellgelb","deutschepapier-trendcolor-hellgelb","#e6dfa7"
"DEUTSCHEpapier Trendcolor dunkelgelb","deutschepapier-trendcolor-dunkelgelb","#eddf8d"
"DEUTSCHEpapier Trendcolor kanariengelb","deutschepapier-trendcolor-kanariengelb","#f3d841"
"DEUTSCHEpapier Trendcolor maisgold","deutschepapier-trendcolor-maisgold","#ffc469"
"DEUTSCHEpapier Trendcolor chamois","deutschepapier-trendcolor-chamois","#f6d4b8"
"DEUTSCHEpapier Trendcolor orange","deutschepapier-trendcolor-orange","#ffc096"
"DEUTSCHEpapier Trendcolor mandarin","deutschepapier-trendcolor-mandarin","#ff9e62"
"DEUTSCHEpapier Trendcolor rosa","deutschepapier-trendcolor-rosa","#fdc7cd"
"DEUTSCHEpapier Trendcolor kirsch","deutschepapier-trendcolor-kirsch","#fea7bb"
"DEUTSCHEpapier Trendcolor rot","deutschepapier-trendcolor-rot","#f36476"
"DEUTSCHEpapier Trendcolor eosin","deutschepapier-trendcolor-eosin","#fa74ba"
"DEUTSCHEpapier Trendcolor hellgruen","deutschepapier-trendcolor-hellgruen","#cee5b5"
"DEUTSCHEpapier Trendcolor moosgruen","deutschepapier-trendcolor-moosgruen","#a6da74"
"DEUTSCHEpapier Trendcolor dunkelgruen","deutschepapier-trendcolor-dunkelgruen","#67cb9b"
"DEUTSCHEpapier Trendcolor hellblau","deutschepapier-trendcolor-hellblau","#a3d0da"
"DEUTSCHEpapier Trendcolor arcticblau","deutschepapier-trendcolor-arcticblau","#69b5d1"
"DEUTSCHEpapier Trendcolor grau","deutschepapier-trendcolor-grau","#dcdbd3"
"DEUTSCHEpapier Colorline creme","deutschepapier-colorline-creme","#fdf3d5"
"DEUTSCHEpapier Colorline chamois","deutschepapier-colorline-chamois","#ffe9b3"
"DEUTSCHEpapier Colorline hellgelb","deutschepapier-colorline-hellgelb","#faf6b5"
"DEUTSCHEpapier Colorline kanariengelb","deutschepapier-colorline-kanariengelb","#f8ec4c"
"DEUTSCHEpapier Colorline schwefelgelb","deutschepapier-colorline-schwefelgelb","#ffd725"
