"einz-a Adria","einz-a-adria","#3b536e"
"einz-a Adria 11","einz-a-adria-11","#3f6b8f"
"einz-a Adria 22","einz-a-adria-22","#5684a7"
"einz-a Adria 33","einz-a-adria-33","#80a7c3"
"einz-a Adria 44","einz-a-adria-44","#94b9cc"
"einz-a Adria 55","einz-a-adria-55","#afcddb"
"einz-a Adria 66","einz-a-adria-66","#c5dae3"
"einz-a Adria 77","einz-a-adria-77","#d3e1e2"
"einz-a Adria 88","einz-a-adria-88","#e1eae9"
"einz-a Agave","einz-a-agave","#6c6440"
"einz-a Agave 11","einz-a-agave-11","#7f7550"
"einz-a Agave 22","einz-a-agave-22","#9d9168"
"einz-a Agave 33","einz-a-agave-33","#b7ab82"
"einz-a Agave 44","einz-a-agave-44","#cabf9a"
"einz-a Agave 55","einz-a-agave-55","#ded2b0"
"einz-a Agave 66","einz-a-agave-66","#e8dfc3"
"einz-a Agave 77","einz-a-agave-77","#ebe7d5"
"einz-a Agave 88","einz-a-agave-88","#eeebda"
"einz-a Bast","einz-a-bast","#bb8733"
"einz-a Bast 11","einz-a-bast-11","#cf973f"
"einz-a Bast 22","einz-a-bast-22","#dcb05e"
"einz-a Bast 33","einz-a-bast-33","#ebc87d"
"einz-a Bast 44","einz-a-bast-44","#f3d998"
"einz-a Bast 55","einz-a-bast-55","#f0deaa"
"einz-a Bast 66","einz-a-bast-66","#f3e8c1"
"einz-a Bast 77","einz-a-bast-77","#f1eace"
"einz-a Bast 88","einz-a-bast-88","#f4efd8"
"einz-a Bernstein","einz-a-bernstein","#e79526"
"einz-a Bernstein 11","einz-a-bernstein-11","#eca13b"
"einz-a Bernstein 22","einz-a-bernstein-22","#f0b658"
"einz-a Bernstein 33","einz-a-bernstein-33","#f6ce7c"
"einz-a Bernstein 44","einz-a-bernstein-44","#f8dd97"
"einz-a Bernstein 55","einz-a-bernstein-55","#f7e6b0"
"einz-a Bernstein 66","einz-a-bernstein-66","#f7ecc3"
"einz-a Bernstein 77","einz-a-bernstein-77","#f1ebcd"
"einz-a Bernstein 88","einz-a-bernstein-88","#f4efd9"
"einz-a Birke","einz-a-birke","#828c3d"
"einz-a Birke 11","einz-a-birke-11","#8e9a47"
"einz-a Birke 22","einz-a-birke-22","#a9b561"
"einz-a Birke 33","einz-a-birke-33","#c5cc81"
"einz-a Birke 44","einz-a-birke-44","#d2d99b"
"einz-a Birke 55","einz-a-birke-55","#dee3b1"
"einz-a Birke 66","einz-a-birke-66","#e8ebc7"
"einz-a Birke 77","einz-a-birke-77","#eeefd3"
"einz-a Birke 88","einz-a-birke-88","#ebedd5"
"einz-a Borke","einz-a-borke","#77694a"
"einz-a Borke 11","einz-a-borke-11","#837556"
"einz-a Borke 22","einz-a-borke-22","#9e8e6b"
"einz-a Borke 33","einz-a-borke-33","#bcab86"
"einz-a Borke 44","einz-a-borke-44","#ccbe9c"
"einz-a Borke 55","einz-a-borke-55","#dbceb1"
"einz-a Borke 66","einz-a-borke-66","#e6dcc5"
"einz-a Borke 77","einz-a-borke-77","#efe7d4"
"einz-a Borke 88","einz-a-borke-88","#efebda"
"einz-a Brasil","einz-a-brasil","#635547"
"einz-a Brasil 11","einz-a-brasil-11","#695b4e"
"einz-a Brasil 22","einz-a-brasil-22","#867767"
"einz-a Brasil 33","einz-a-brasil-33","#a69582"
"einz-a Brasil 44","einz-a-brasil-44","#bdae9a"
"einz-a Brasil 55","einz-a-brasil-55","#ccbfad"
"einz-a Brasil 66","einz-a-brasil-66","#dcd1c1"
"einz-a Brasil 77","einz-a-brasil-77","#e2dacd"
"einz-a Brasil 88","einz-a-brasil-88","#ede7db"
"einz-a Curry","einz-a-curry","#c37942"
"einz-a Curry 11","einz-a-curry-11","#cd874f"
"einz-a Curry 22","einz-a-curry-22","#df9e65"
"einz-a Curry 33","einz-a-curry-33","#eeb982"
"einz-a Curry 44","einz-a-curry-44","#f4cc9c"
"einz-a Curry 55","einz-a-curry-55","#f5d9b0"
"einz-a Curry 66","einz-a-curry-66","#f5e4c5"
"einz-a Curry 77","einz-a-curry-77","#f4e7d0"
"einz-a Curry 88","einz-a-curry-88","#f8eedb"
"einz-a Eibe","einz-a-eibe","#7e7549"
"einz-a Eibe 11","einz-a-eibe-11","#908555"
"einz-a Eibe 22","einz-a-eibe-22","#aba171"
"einz-a Eibe 33","einz-a-eibe-33","#cbc194"
"einz-a Eibe 44","einz-a-eibe-44","#d9d1a7"
"einz-a Eibe 55","einz-a-eibe-55","#e4ddbc"
"einz-a Eibe 66","einz-a-eibe-66","#e8e2c7"
"einz-a Eibe 77","einz-a-eibe-77","#eae8d4"
"einz-a Eibe 88","einz-a-eibe-88","#f1edde"
"einz-a Feuer","einz-a-feuer","#ba4f3d"
