"PANTONE P Process Cyan U","process-cyan","#00a0e1"
"PANTONE P Process Magenta U","process-magenta","#e3007d"
"PANTONE P Process Yellow U","process-yellow","#ffed00"
"PANTONE P Process Black U","process-black","#2d2c2b"
"PANTONE P 1-1 U","1-1","#fffffc"
"PANTONE P 1-2 U","1-2","#fffdef"
"PANTONE P 1-3 U","1-3","#fffcde"
"PANTONE P 1-4 U","1-4","#fff9c4"
"PANTONE P 1-5 U","1-5","#fff7a6"
"PANTONE P 1-6 U","1-6","#fff480"
"PANTONE P 1-7 U","1-7","#fff044"
"PANTONE P 1-8 U","1-8","#ffed00"
"PANTONE P 1-9 U","1-9","#fefcf3"
"PANTONE P 1-10 U","1-10","#fdf9e3"
"PANTONE P 1-11 U","1-11","#faf4cf"
"PANTONE P 1-12 U","1-12","#f9f0b6"
"PANTONE P 1-13 U","1-13","#f6e996"
"PANTONE P 1-14 U","1-14","#f3e378"
"PANTONE P 1-15 U","1-15","#eeda43"
"PANTONE P 1-16 U","1-16","#e9d200"
"PANTONE P 2-1 U","2-1","#f7f2d5"
"PANTONE P 2-2 U","2-2","#f3ecc0"
"PANTONE P 2-3 U","2-3","#efe6ac"
"PANTONE P 2-4 U","2-4","#eadf93"
"PANTONE P 2-5 U","2-5","#e4d77c"
"PANTONE P 2-6 U","2-6","#e0d05e"
"PANTONE P 2-7 U","2-7","#d7c637"
"PANTONE P 2-8 U","2-8","#cfbc00"
"PANTONE P 2-9 U","2-9","#f0ebc8"
"PANTONE P 2-10 U","2-10","#e9e2b2"
"PANTONE P 2-11 U","2-11","#e3db9e"
"PANTONE P 2-12 U","2-12","#dcd185"
"PANTONE P 2-13 U","2-13","#d6ca6f"
"PANTONE P 2-14 U","2-14","#cfc156"
"PANTONE P 2-15 U","2-15","#c5b537"
"PANTONE P 2-16 U","2-16","#b9a905"
"PANTONE P 3-1 U","3-1","#f2eed7"
"PANTONE P 3-2 U","3-2","#e9e3bf"
"PANTONE P 3-3 U","3-3","#dfd8a5"
"PANTONE P 3-4 U","3-4","#d4cb8a"
"PANTONE P 3-5 U","3-5","#cac071"
"PANTONE P 3-6 U","3-6","#bfb355"
"PANTONE P 3-7 U","3-7","#b0a436"
"PANTONE P 3-8 U","3-8","#a09415"
