"PANTONE Process Yellow UP","process-yellow","#ffed00"
"PANTONE Process Magenta UP","process-magenta","#e3007d"
"PANTONE Process Cyan UP","process-cyan","#00a0e1"
"PANTONE Process Black UP","process-black","#2d2c2b"
"PANTONE 100 UP","100","#fff69d"
"PANTONE 101 UP","101","#fff37b"
"PANTONE 102 UP","102","#fff044"
"PANTONE Yellow UP","yellow","#ffee00"
"PANTONE 103 UP","103","#dec400"
"PANTONE 104 UP","104","#c3ae20"
"PANTONE 105 UP","105","#a0932d"
"PANTONE 7401 UP","7401","#fff0c0"
"PANTONE 7402 UP","7402","#fde9a8"
"PANTONE 7403 UP","7403","#fbdd8d"
"PANTONE 7404 UP","7404","#ffdc00"
"PANTONE 7405 UP","7405","#f5c700"
"PANTONE 7406 UP","7406","#f9cd1d"
"PANTONE 7407 UP","7407","#e1b257"
"PANTONE 106 UP","106","#fff06a"
"PANTONE 107 UP","107","#ffed4c"
"PANTONE 108 UP","108","#ffe700"
"PANTONE 109 UP","109","#ffdc00"
"PANTONE 110 UP","110","#edc400"
"PANTONE 111 UP","111","#c7af22"
"PANTONE 112 UP","112","#ae9a27"
"PANTONE 113 UP","113","#ffeb59"
"PANTONE 114 UP","114","#ffe20a"
"PANTONE 115 UP","115","#ffdc03"
"PANTONE 116 UP","116","#ffce00"
"PANTONE 117 UP","117","#dab300"
"PANTONE 118 UP","118","#c4a70c"
"PANTONE 119 UP","119","#a0902c"
"PANTONE 127 UP","127","#ffec89"
"PANTONE 128 UP","128","#ffe066"
"PANTONE 129 UP","129","#fec53a"
"PANTONE 130 UP","130","#fcba30"
"PANTONE 131 UP","131","#e4a31f"
"PANTONE 132 UP","132","#c59c21"
"PANTONE 133 UP","133","#9d8a2f"
"PANTONE 1205 UP","1205","#fff1ad"
"PANTONE 1215 UP","1215","#ffe685"
"PANTONE 1225 UP","1225","#ffcd45"
"PANTONE 1235 UP","1235","#fec330"
"PANTONE 1245 UP","1245","#d7aa1c"
"PANTONE 1255 UP","1255","#c1a02b"
"PANTONE 1265 UP","1265","#ad902c"
"PANTONE 120 UP","120","#ffe672"
"PANTONE 121 UP","121","#ffd855"
"PANTONE 122 UP","122","#ffca1f"
"PANTONE 123 UP","123","#fdbe02"
"PANTONE 124 UP","124","#eaaf12"
"PANTONE 125 UP","125","#c79b15"
"PANTONE 126 UP","126","#b29427"
"PANTONE 7548 UP","7548","#ffd900"
"PANTONE 7549 UP","7549","#ffc800"
"PANTONE 7550 UP","7550","#e8ac04"
"PANTONE 7551 UP","7551","#d0a51a"
"PANTONE 7552 UP","7552","#9c832b"
"PANTONE 7553 UP","7553","#847033"
"PANTONE 7554 UP","7554","#685c36"
"PANTONE 7555 UP","7555","#edbf49"
"PANTONE 7556 UP","7556","#d5b771"
"PANTONE 7557 UP","7557","#c5a355"
"PANTONE 7558 UP","7558","#b08a42"
"PANTONE 7559 UP","7559","#aa8236"
"PANTONE 7560 UP","7560","#997c3e"
"PANTONE 7561 UP","7561","#836e3f"
"PANTONE 134 UP","134","#ffdf83"
"PANTONE 135 UP","135","#ffd67a"
"PANTONE 136 UP","136","#fdc24a"
"PANTONE 137 UP","137","#fcbe40"
"PANTONE 138 UP","138","#e8a122"
"PANTONE 139 UP","139","#cb921a"
"PANTONE 140 UP","140","#a78932"
"PANTONE 1345 UP","1345","#ffe0a4"
"PANTONE 1355 UP","1355","#fed693"
"PANTONE 1365 UP","1365","#fcc572"
"PANTONE 1375 UP","1375","#fab538"
"PANTONE 1385 UP","1385","#e69427"
"PANTONE 1395 UP","1395","#b8872d"
"PANTONE 1405 UP","1405","#a18039"
"PANTONE 141 UP","141","#fecb63"
"PANTONE 142 UP","142","#fcc254"
"PANTONE 143 UP","143","#fab247"
"PANTONE 144 UP","144","#f7a333"
"PANTONE 145 UP","145","#e5922c"
"PANTONE 146 UP","146","#be862b"
"PANTONE 147 UP","147","#957d36"
"PANTONE 7408 UP","7408","#f6b62d"
"PANTONE 7409 UP","7409","#f5b82c"
"PANTONE 7410 UP","7410","#f9b884"
"PANTONE 7411 UP","7411","#f2b570"
"PANTONE 7412 UP","7412","#e69849"
"PANTONE 7413 UP","7413","#f3a146"
"PANTONE 7414 UP","7414","#df9134"
"PANTONE 7562 UP","7562","#d9bd8b"
"PANTONE 7563 UP","7563","#f1b544"
"PANTONE 7564 UP","7564","#eca940"
