"PANTONE 871 C","871","#85754e"
"PANTONE 872 C","872","#8c734b"
"PANTONE 873 C","873","#8a6e4b"
"PANTONE 874 C","874","#8b6f4c"
"PANTONE 875 C","875","#8f6d50"
"PANTONE 876 C","876","#976a4c"
"PANTONE 877 C","877","#8d9091"
"PANTONE 8001 C","8001","#8d8c8b"
"PANTONE 8002 C","8002","#8d857c"
"PANTONE 8003 C","8003","#8a7e71"
"PANTONE 8004 C","8004","#8b7966"
"PANTONE 8005 C","8005","#8b745a"
"PANTONE 8006 C","8006","#8a7154"
"PANTONE 8020 C","8020","#978275"
"PANTONE 8021 C","8021","#9a7a6a"
"PANTONE 8022 C","8022","#a1725a"
"PANTONE 8023 C","8023","#a3674b"
"PANTONE 8024 C","8024","#a95c36"
"PANTONE 8025 C","8025","#ad5629"
"PANTONE 8040 C","8040","#918987"
"PANTONE 8041 C","8041","#9a827c"
"PANTONE 8042 C","8042","#9d7a70"
"PANTONE 8043 C","8043","#a57164"
"PANTONE 8044 C","8044","#a1634e"
"PANTONE 8045 C","8045","#a55e44"
"PANTONE 8060 C","8060","#99838c"
"PANTONE 8061 C","8061","#9f7a87"
"PANTONE 8062 C","8062","#a4717f"
"PANTONE 8063 C","8063","#aa6775"
"PANTONE 8064 C","8064","#a5656a"
"PANTONE 8065 C","8065","#a35d5d"
"PANTONE 8080 C","8080","#938294"
"PANTONE 8081 C","8081","#9a6a8f"
"PANTONE 8082 C","8082","#9c5e8b"
"PANTONE 8083 C","8083","#9d5083"
"PANTONE 8084 C","8084","#a64277"
"PANTONE 8085 C","8085","#a53768"
"PANTONE 8100 C","8100","#907695"
"PANTONE 8101 C","8101","#906a92"
"PANTONE 8102 C","8102","#915b8e"
"PANTONE 8103 C","8103","#914d8b"
"PANTONE 8104 C","8104","#913c79"
"PANTONE 8105 C","8105","#92336d"
"PANTONE 8120 C","8120","#8d8398"
"PANTONE 8121 C","8121","#8a7595"
"PANTONE 8122 C","8122","#896993"
"PANTONE 8123 C","8123","#8b5c94"
"PANTONE 8124 C","8124","#8d4e84"
"PANTONE 8125 C","8125","#8b4679"
"PANTONE 8140 C","8140","#847798"
"PANTONE 8141 C","8141","#7e6b98"
"PANTONE 8142 C","8142","#7a5f97"
"PANTONE 8143 C","8143","#715095"
"PANTONE 8144 C","8144","#734f82"
"PANTONE 8145 C","8145","#734a7a"
"PANTONE 8160 C","8160","#838595"
"PANTONE 8161 C","8161","#7a7997"
"PANTONE 8162 C","8162","#676197"
"PANTONE 8163 C","8163","#5a5498"
"PANTONE 8164 C","8164","#59498f"
"PANTONE 8165 C","8165","#533f81"
"PANTONE 8180 C","8180","#7b8797"
"PANTONE 8181 C","8181","#5e779b"
"PANTONE 8182 C","8182","#4d6e9f"
"PANTONE 8183 C","8183","#3862a0"
"PANTONE 8184 C","8184","#2e5894"
"PANTONE 8185 C","8185","#2a518d"
"PANTONE 8200 C","8200","#6c889a"
"PANTONE 8201 C","8201","#5c839c"
"PANTONE 8202 C","8202","#4a7d9f"
"PANTONE 8203 C","8203","#2c76a2"
"PANTONE 8204 C","8204","#3c7590"
"PANTONE 8205 C","8205","#3a6e84"
"PANTONE 8220 C","8220","#6b8c9b"
"PANTONE 8221 C","8221","#5c899e"
"PANTONE 8222 C","8222","#4786a1"
"PANTONE 8223 C","8223","#267fa1"
"PANTONE 8224 C","8224","#0c7994"
"PANTONE 8225 C","8225","#007188"
"PANTONE 8240 C","8240","#809198"
"PANTONE 8241 C","8241","#618e9c"
"PANTONE 8242 C","8242","#498a9b"
"PANTONE 8243 C","8243","#2488a0"
"PANTONE 8244 C","8244","#407e86"
"PANTONE 8245 C","8245","#3a777a"
"PANTONE 8260 C","8260","#718f99"
"PANTONE 8261 C","8261","#618b94"
"PANTONE 8262 C","8262","#4a8793"
"PANTONE 8263 C","8263","#2f8491"
"PANTONE 8264 C","8264","#1d787d"
"PANTONE 8265 C","8265","#1b6c6a"
"PANTONE 8280 C","8280","#7a9697"
"PANTONE 8281 C","8281","#6e9896"
"PANTONE 8282 C","8282","#5e9995"
"PANTONE 8283 C","8283","#449c93"
"PANTONE 8284 C","8284","#559383"
"PANTONE 8285 C","8285","#528d78"
"PANTONE 8300 C","8300","#80958e"
"PANTONE 8301 C","8301","#76998c"
"PANTONE 8302 C","8302","#689983"
"PANTONE 8303 C","8303","#509373"
"PANTONE 8304 C","8304","#5e8c68"
"PANTONE 8305 C","8305","#5e865e"
"PANTONE 8320 C","8320","#89928c"
"PANTONE 8321 C","8321","#80967a"
"PANTONE 8322 C","8322","#76976e"
"PANTONE 8323 C","8323","#679260"
"PANTONE 8324 C","8324","#72915b"
"PANTONE 8325 C","8325","#718c4f"
"PANTONE 8340 C","8340","#8d947c"
"PANTONE 8341 C","8341","#8a9570"
"PANTONE 8342 C","8342","#899763"
"PANTONE 8343 C","8343","#849852"
"PANTONE 8344 C","8344","#82913e"
"PANTONE 8345 C","8345","#818c2d"
"PANTONE 8360 C","8360","#949478"
"PANTONE 8361 C","8361","#91926a"
"PANTONE 8362 C","8362","#98945d"
"PANTONE 8363 C","8363","#a39b4c"
"PANTONE 8364 C","8364","#a19147"
