"PANTONE Yellow 0131 C","yellow-0131","#f4f0a2"
"PANTONE Red 0331 C","red-0331","#feafbc"
"PANTONE Magenta 0521 C","magenta-0521","#f4b3dc"
"PANTONE Violet 0631 C","violet-0631","#c19bdf"
"PANTONE Blue 0821 C","blue-0821","#70d0ec"
"PANTONE Green 0921 C","green-0921","#9ae7d9"
"PANTONE Black 0961 C","black-0961","#9f968d"
"PANTONE 9140 C","9140","#f3edcc"
"PANTONE 9284 C","9284","#fbcad2"
"PANTONE 9324 C","9324","#f5c9e4"
"PANTONE 9344 C","9344","#d2b6e5"
"PANTONE 9464 C","9464","#9dddee"
"PANTONE 9524 C","9524","#aceade"
"PANTONE 9084 C","9084","#aea89e"
"PANTONE 9060 C","9060","#f2f0da"
"PANTONE 9280 C","9280","#f5e2e3"
"PANTONE 9320 C","9320","#f4deea"
"PANTONE 9340 C","9340","#e7dceb"
"PANTONE 9460 C","9460","#d5ebee"
"PANTONE 9520 C","9520","#d6eee8"
"PANTONE 9083 C","9083","#cec8bf"
"PANTONE 9064 C","9064","#f1f0de"
"PANTONE 9285 C","9285","#f3ece7"
"PANTONE 9061 C","9061","#f3e8eb"
"PANTONE 9345 C","9345","#eee8ea"
"PANTONE 9062 C","9062","#e6eeec"
"PANTONE 9063 C","9063","#e7efe7"
"PANTONE 9081 C","9081","#dfdcd5"
"PANTONE 9043 C","9043","#e9e6df"
"PANTONE 9080 C","9080","#e4e2dc"
"PANTONE 9100 C","9100","#e8e6e0"
"PANTONE 9101 C","9101","#e3e3dd"
"PANTONE 9102 C","9102","#dadbd4"
"PANTONE 9103 C","9103","#d6d7d3"
"PANTONE 9082 C","9082","#d3cdc5"
"PANTONE 9121 C","9121","#f3efb0"
"PANTONE 9120 C","9120","#f3efb8"
"PANTONE 9141 C","9141","#f3edc1"
"PANTONE 9142 C","9142","#eae3c4"
"PANTONE 9161 C","9161","#e9dbba"
"PANTONE 9143 C","9143","#e4ddc3"
"PANTONE 9162 C","9162","#e3d9c3"
"PANTONE 9160 C","9160","#f6e4c0"
"PANTONE 9180 C","9180","#f4e4cd"
"PANTONE 9181 C","9181","#f6e2c9"
"PANTONE 9200 C","9200","#f6e1cc"
"PANTONE 9201 C","9201","#f8e2ce"
"PANTONE 9220 C","9220","#f6e0cf"
"PANTONE 9221 C","9221","#efd6c5"
"PANTONE 9184 C","9184","#f0e3ce"
"PANTONE 9185 C","9185","#efe1d0"
"PANTONE 9202 C","9202","#eedece"
"PANTONE 9182 C","9182","#eddbc8"
"PANTONE 9183 C","9183","#e5d7c6"
"PANTONE 9203 C","9203","#e5d5c5"
"PANTONE 9186 C","9186","#e3d3c5"
"PANTONE 9224 C","9224","#f4e9db"
"PANTONE 9225 C","9225","#f2e5d8"
"PANTONE 9226 C","9226","#ece2d7"
"PANTONE 9222 C","9222","#e8d5c8"
"PANTONE 9223 C","9223","#e2d3c7"
"PANTONE 9242 C","9242","#ebd5cf"
"PANTONE 9243 C","9243","#e1cec7"
"PANTONE 9244 C","9244","#f3e9e3"
"PANTONE 9240 C","9240","#f5e5df"
"PANTONE 9260 C","9260","#f6dfdb"
"PANTONE 9241 C","9241","#f1ded7"
"PANTONE 9261 C","9261","#f2d7d4"
"PANTONE 9262 C","9262","#ecd5d1"
"PANTONE 9263 C","9263","#e6d1cd"
"PANTONE 9286 C","9286","#f8dfe2"
"PANTONE 9281 C","9281","#f2ddde"
"PANTONE 9300 C","9300","#f4dde3"
"PANTONE 9282 C","9282","#f0dadc"
"PANTONE 9301 C","9301","#f2dbe1"
"PANTONE 9321 C","9321","#efd5e2"
"PANTONE 9302 C","9302","#eacfd6"
"PANTONE 9021 C","9021","#f2e6e5"
"PANTONE 9022 C","9022","#f1e7ea"
"PANTONE 9023 C","9023","#ebe3eb"
"PANTONE 9283 C","9283","#ead8d7"
"PANTONE 9303 C","9303","#e8d3d6"
"PANTONE 9322 C","9322","#ead0dd"
"PANTONE 9323 C","9323","#e4ccd7"
"PANTONE 9360 C","9360","#ded7eb"
"PANTONE 9341 C","9341","#e5d7e7"
"PANTONE 9342 C","9342","#e0d4e2"
"PANTONE 9343 C","9343","#dfd1e1"
"PANTONE 9361 C","9361","#dcd3e8"
"PANTONE 9362 C","9362","#ded3e4"
"PANTONE 9363 C","9363","#d3c7da"
"PANTONE 9380 C","9380","#dfe0ec"
"PANTONE 9384 C","9384","#dadfec"
"PANTONE 9381 C","9381","#d3d9e8"
"PANTONE 9382 C","9382","#ccd2e7"
"PANTONE 9383 C","9383","#d1d4e4"
"PANTONE 9385 C","9385","#ced5e0"
"PANTONE 9403 C","9403","#cfd9e5"
"PANTONE 9400 C","9400","#d7e1ed"
"PANTONE 9401 C","9401","#d6e1ef"
"PANTONE 9402 C","9402","#d5e0ec"
"PANTONE 9420 C","9420","#d2e2ed"
"PANTONE 9421 C","9421","#cfdfe9"
"PANTONE 9422 C","9422","#cad9e4"
"PANTONE 9423 C","9423","#c1d1db"
"PANTONE 9424 C","9424","#c3e2e7"
"PANTONE 9440 C","9440","#c0e0eb"
"PANTONE 9441 C","9441","#c0e0ed"
"PANTONE 9442 C","9442","#bddce7"
"PANTONE 9461 C","9461","#bee1e7"
"PANTONE 9462 C","9462","#b8dbe1"
"PANTONE 9443 C","9443","#b8d4e0"
"PANTONE 9480 C","9480","#c8e8e9"
"PANTONE 9481 C","9481","#c4e8ea"
"PANTONE 9500 C","9500","#bde8e7"
"PANTONE 9482 C","9482","#bfe4e5"
"PANTONE 9501 C","9501","#b8e0dd"
"PANTONE 9483 C","9483","#c5dcda"
"PANTONE 9463 C","9463","#bcd9de"
"PANTONE 9042 C","9042","#e3e7e4"
"PANTONE 9041 C","9041","#e0ebe4"
"PANTONE 9040 C","9040","#dceaeb"
"PANTONE 9044 C","9044","#c7e2e2"
"PANTONE 9045 C","9045","#c8deda"
"PANTONE 9503 C","9503","#caddda"
"PANTONE 9504 C","9504","#c5dad7"
"PANTONE 9525 C","9525","#e5efe2"
"PANTONE 9540 C","9540","#e0f0e6"
"PANTONE 9541 C","9541","#deece2"
"PANTONE 9521 C","9521","#d4e9e2"
"PANTONE 9522 C","9522","#d4e6e0"
"PANTONE 9523 C","9523","#d6e3dd"
"PANTONE 9502 C","9502","#cde3e0"
"PANTONE 9544 C","9544","#e5efdc"
"PANTONE 9560 C","9560","#dfefdd"
