"PANTONE Yellow 0131 U","yellow-0131","#fcf59c"
"PANTONE Red 0331 U","red-0331","#ffb2be"
"PANTONE Magenta 0521 U","magenta-0521","#fbaadd"
"PANTONE Violet 0631 U","violet-0631","#bc94de"
"PANTONE Blue 0821 U","blue-0821","#67d0ee"
"PANTONE Green 0921 U","green-0921","#72e5d2"
"PANTONE Black 0961 U","black-0961","#9d9995"
"PANTONE 9140 U","9140","#fbf1c0"
"PANTONE 9284 U","9284","#ffd0d9"
"PANTONE 9324 U","9324","#fbcbe9"
"PANTONE 9344 U","9344","#d8b9ec"
"PANTONE 9464 U","9464","#8ddcf2"
"PANTONE 9524 U","9524","#9fecde"
"PANTONE 9084 U","9084","#bdb8b1"
"PANTONE 9060 U","9060","#faf5d8"
"PANTONE 9280 U","9280","#fee5e5"
"PANTONE 9320 U","9320","#fce0f0"
"PANTONE 9340 U","9340","#f3e6f2"
"PANTONE 9460 U","9460","#c1e9f2"
"PANTONE 9520 U","9520","#c3f1e7"
"PANTONE 9083 U","9083","#c4bfb8"
"PANTONE 9064 U","9064","#faf5d8"
"PANTONE 9285 U","9285","#fbefec"
"PANTONE 9061 U","9061","#fbebef"
"PANTONE 9345 U","9345","#f4eaef"
"PANTONE 9062 U","9062","#dff1f1"
"PANTONE 9063 U","9063","#e3f3e9"
"PANTONE 9081 U","9081","#dcd7d0"
"PANTONE 9043 U","9043","#ebe5dd"
"PANTONE 9080 U","9080","#e0dad4"
"PANTONE 9100 U","9100","#eae7e0"
"PANTONE 9101 U","9101","#dedfd9"
"PANTONE 9102 U","9102","#cfd2cd"
"PANTONE 9103 U","9103","#c4c7c3"
"PANTONE 9082 U","9082","#d2ccc4"
"PANTONE 9121 U","9121","#fbf6b7"
"PANTONE 9120 U","9120","#f9f6bf"
"PANTONE 9141 U","9141","#fcf0bc"
"PANTONE 9142 U","9142","#ece0ba"
"PANTONE 9161 U","9161","#ebdab6"
"PANTONE 9143 U","9143","#e4dcbe"
"PANTONE 9162 U","9162","#dfd0b6"
"PANTONE 9160 U","9160","#fee6bc"
"PANTONE 9180 U","9180","#fee8cf"
"PANTONE 9181 U","9181","#ffe2c3"
"PANTONE 9200 U","9200","#ffdfc5"
"PANTONE 9201 U","9201","#ffe1c7"
"PANTONE 9220 U","9220","#ffe0cc"
"PANTONE 9221 U","9221","#f3d5c3"
"PANTONE 9184 U","9184","#f8ebd8"
"PANTONE 9185 U","9185","#f5e3d1"
"PANTONE 9202 U","9202","#f0d9c5"
"PANTONE 9182 U","9182","#f1d9c3"
"PANTONE 9183 U","9183","#e9d5c4"
"PANTONE 9203 U","9203","#e3cdbb"
"PANTONE 9186 U","9186","#e2cfbe"
"PANTONE 9224 U","9224","#fcebdb"
"PANTONE 9225 U","9225","#f9e5d4"
"PANTONE 9226 U","9226","#f1e4d7"
"PANTONE 9222 U","9222","#e6cfc1"
"PANTONE 9223 U","9223","#dfcabd"
"PANTONE 9242 U","9242","#edcfc7"
"PANTONE 9243 U","9243","#dfc6bf"
"PANTONE 9244 U","9244","#fcebe3"
"PANTONE 9240 U","9240","#fee5de"
"PANTONE 9260 U","9260","#ffe2df"
"PANTONE 9241 U","9241","#f5d9d3"
"PANTONE 9261 U","9261","#f6d1cf"
"PANTONE 9262 U","9262","#eccac8"
"PANTONE 9263 U","9263","#e0c3bf"
"PANTONE 9286 U","9286","#ffdee1"
"PANTONE 9281 U","9281","#fad7da"
"PANTONE 9300 U","9300","#fee1e9"
"PANTONE 9282 U","9282","#f3cdd2"
"PANTONE 9301 U","9301","#f8d9e1"
"PANTONE 9321 U","9321","#f7dae8"
"PANTONE 9302 U","9302","#ecc6d1"
"PANTONE 9021 U","9021","#f8e6e2"
"PANTONE 9022 U","9022","#f7e5ec"
"PANTONE 9023 U","9023","#ede3ee"
"PANTONE 9283 U","9283","#e7c9c9"
"PANTONE 9303 U","9303","#e0bdc7"
"PANTONE 9322 U","9322","#efccde"
"PANTONE 9323 U","9323","#debdcd"
"PANTONE 9360 U","9360","#e1d7f2"
"PANTONE 9341 U","9341","#e7d7ea"
"PANTONE 9342 U","9342","#e4d4e5"
"PANTONE 9343 U","9343","#decbe3"
"PANTONE 9361 U","9361","#dbcce8"
"PANTONE 9362 U","9362","#d1c3e1"
"PANTONE 9363 U","9363","#cebfd9"
"PANTONE 9380 U","9380","#d8dcf3"
"PANTONE 9384 U","9384","#d6dcf1"
"PANTONE 9381 U","9381","#cad1ea"
"PANTONE 9382 U","9382","#c5cbe8"
"PANTONE 9383 U","9383","#c1c6df"
"PANTONE 9385 U","9385","#cad2e0"
"PANTONE 9403 U","9403","#b8cadf"
"PANTONE 9400 U","9400","#d9e6f5"
"PANTONE 9401 U","9401","#cbdef4"
"PANTONE 9402 U","9402","#bdd0e8"
"PANTONE 9420 U","9420","#bbdbf2"
"PANTONE 9421 U","9421","#b3d2e7"
"PANTONE 9422 U","9422","#b8cedf"
"PANTONE 9423 U","9423","#b2c6d5"
"PANTONE 9424 U","9424","#c1e5ed"
"PANTONE 9440 U","9440","#b6dff0"
"PANTONE 9441 U","9441","#b0ddf1"
"PANTONE 9442 U","9442","#a2d3e6"
"PANTONE 9461 U","9461","#a5dcea"
"PANTONE 9462 U","9462","#a1d4e1"
"PANTONE 9443 U","9443","#a5cbdc"
"PANTONE 9480 U","9480","#bdecf0"
"PANTONE 9481 U","9481","#b4eaee"
"PANTONE 9500 U","9500","#aeeae9"
"PANTONE 9482 U","9482","#aae0e4"
"PANTONE 9501 U","9501","#a7dddd"
"PANTONE 9483 U","9483","#b2d2d3"
"PANTONE 9463 U","9463","#acd3da"
"PANTONE 9042 U","9042","#e3eae6"
"PANTONE 9041 U","9041","#e0f0e6"
"PANTONE 9040 U","9040","#d8eef1"
"PANTONE 9044 U","9044","#bbdfe1"
"PANTONE 9045 U","9045","#b9d8d5"
"PANTONE 9503 U","9503","#b4d2cf"
"PANTONE 9504 U","9504","#b4d1d0"
"PANTONE 9525 U","9525","#e5f6e5"
"PANTONE 9540 U","9540","#d4f3e2"
"PANTONE 9541 U","9541","#d2edde"
"PANTONE 9521 U","9521","#cbeae0"
"PANTONE 9522 U","9522","#c4e0d8"
"PANTONE 9523 U","9523","#c7dbd4"
"PANTONE 9502 U","9502","#b4d9d6"
"PANTONE 9544 U","9544","#ecf6e3"
"PANTONE 9560 U","9560","#e1f5dd"
"PANTONE 9561 U","9561","#d4ead2"
"PANTONE 9562 U","9562","#d1e0ca"
"PANTONE 9563 U","9563","#c9d3c1"
"PANTONE 9542 U","9542","#c3d5c6"
"PANTONE 9543 U","9543","#bacebf"
"PANTONE 9020 U","9020","#f6f1bd"
"PANTONE 9600 U","9600","#ecf2c7"
"PANTONE 9601 U","9601","#eaeacb"
"PANTONE 9122 U","9122","#eae4b7"
"PANTONE 9602 U","9602","#dbdbba"
"PANTONE 9603 U","9603","#d0cfb5"
"PANTONE 9123 U","9123","#d6cfab"
"PANTONE 9580 U","9580","#e8f5d3"
"PANTONE 9581 U","9581","#e0e9ca"
"PANTONE 9584 U","9584","#dde2ca"
"PANTONE 9582 U","9582","#d4d8c3"
"PANTONE 9583 U","9583","#cfd2bd"
"PANTONE 9585 U","9585","#d4d8c3"
"PANTONE 9163 U","9163","#dacdb9"
"PANTONE 801 U","801","#009acf"
"PANTONE 802 U","802","#2bd03e"
"PANTONE 803 U","803","#ffe918"
"PANTONE 804 U","804","#ffac53"
"PANTONE 805 U","805","#ff7377"
"PANTONE 806 U","806","#ff4ab0"
"PANTONE 807 U","807","#ed3cbf"
"PANTONE 901 U","901","#00a9dc"
"PANTONE 902 U","902","#82e87b"
"PANTONE 903 U","903","#fff367"
"PANTONE 904 U","904","#ffc989"
"PANTONE 905 U","905","#ff9da7"
"PANTONE 906 U","906","#ff80d3"
"PANTONE 907 U","907","#f771d8"
"PANTONE 908 U","908","#00b2e1"
"PANTONE 909 U","909","#acf19c"
"PANTONE 910 U","910","#fff691"
"PANTONE 911 U","911","#ffd6a3"
"PANTONE 912 U","912","#ffb0b8"
"PANTONE 913 U","913","#ff9adc"
"PANTONE 914 U","914","#fa87e1"
"PANTONE 915 U","915","#17bee9"
"PANTONE 916 U","916","#bbf3aa"
"PANTONE 917 U","917","#fff8ab"
"PANTONE 918 U","918","#ffe4bb"
"PANTONE 919 U","919","#ffc8cf"
"PANTONE 920 U","920","#ffb5e9"
"PANTONE 921 U","921","#ffacec"
"PANTONE 808 U","808","#00a98f"
"PANTONE 809 U","809","#e3e839"
"PANTONE 810 U","810","#ffd33c"
"PANTONE 811 U","811","#ff8868"
"PANTONE 812 U","812","#ff5993"
"PANTONE 813 U","813","#fb42b7"
"PANTONE 814 U","814","#7a60c5"
"PANTONE 922 U","922","#00c1ab"
"PANTONE 923 U","923","#f0f373"
"PANTONE 924 U","924","#ffe67a"
"PANTONE 925 U","925","#ffb098"
"PANTONE 926 U","926","#ff8ebf"
"PANTONE 927 U","927","#ff82db"
"PANTONE 928 U","928","#9e87df"
"PANTONE 929 U","929","#4dcebc"
"PANTONE 930 U","930","#f5f897"
"PANTONE 931 U","931","#ffed94"
"PANTONE 932 U","932","#ffc3b0"
"PANTONE 933 U","933","#ffa7d1"
"PANTONE 934 U","934","#ff9ee5"
"PANTONE 935 U","935","#b39ee7"
"PANTONE 936 U","936","#74d8cb"
"PANTONE 937 U","937","#f7f9ae"
"PANTONE 938 U","938","#fff3b1"
"PANTONE 939 U","939","#ffd4c5"
"PANTONE 940 U","940","#ffbedf"
"PANTONE 941 U","941","#ffb2eb"
"PANTONE 942 U","942","#c8b5ee"
