"PANTONE Yellow C","yellow","#ffde00"
"PANTONE Yellow 012 C","yellow-012","#ffd700"
"PANTONE Orange 021 C","orange-021","#ff5200"
"PANTONE Warm Red C","warm-red","#ff4539"
"PANTONE Red 032 C","red-032","#f63440"
"PANTONE Rubine Red C","rubine-red","#d50058"
"PANTONE Rhodamine Red C","rhodamine-red","#e60896"
"PANTONE Purple C","purple","#c129b9"
"PANTONE Violet C","violet","#410099"
"PANTONE Blue 072 C","blue-072","#000f9f"
"PANTONE Reflex Blue C","reflex-blue","#001689"
"PANTONE Process Blue C","process-blue","#0082ca"
"PANTONE Green C","green","#00a888"
"PANTONE Black C","black","#2d2a26"
"PANTONE Yellow 0131 C","yellow-0131","#f4f0a2"
"PANTONE Red 0331 C","red-0331","#feafbc"
"PANTONE Magenta 0521 C","magenta-0521","#f4b3dc"
"PANTONE Violet 0631 C","violet-0631","#c19bdf"
"PANTONE Blue 0821 C","blue-0821","#70d0ec"
"PANTONE Green 0921 C","green-0921","#9ae7d9"
"PANTONE Black 0961 C","black-0961","#9f968d"
"PANTONE 801 C","801","#0098ce"
"PANTONE 802 C","802","#3ad531"
"PANTONE 803 C","803","#ffe900"
"PANTONE 804 C","804","#ffac4e"
"PANTONE 805 C","805","#ff7376"
"PANTONE 806 C","806","#ff41b4"
"PANTONE 807 C","807","#f02bc2"
"PANTONE 871 C","871","#857650"
"PANTONE 872 C","872","#87714d"
"PANTONE 873 C","873","#886e4c"
"PANTONE 874 C","874","#8c704f"
"PANTONE 875 C","875","#88674f"
"PANTONE 876 C","876","#8d644b"
"PANTONE 877 C","877","#8a8d8e"
"PANTONE Medium Yellow C","medium-yellow","#ffda00"
"PANTONE Bright Orange C","bright-orange","#ff6000"
"PANTONE Bright Red C","bright-red","#ff3c1f"
"PANTONE Strong Red C","strong-red","#d40054"
"PANTONE Pink C","pink","#dc2697"
"PANTONE Medium Purple C","medium-purple","#4d008c"
"PANTONE Dark Blue C","dark-blue","#00269a"
"PANTONE Medium Blue C","medium-blue","#0082cc"
"PANTONE Bright Green C","bright-green","#00ae8e"
"PANTONE Neutral Black C","neutral-black","#222222"
"PANTONE 100 C","100","#f7eb62"
"PANTONE 101 C","101","#f8ea49"
"PANTONE 102 C","102","#fde300"
"PANTONE Yellow C","yellow","#ffde00"
"PANTONE 103 C","103","#c6aa00"
"PANTONE 104 C","104","#b19800"
"PANTONE 105 C","105","#8a7b29"
"PANTONE 7401 C","7401","#f7e0a5"
"PANTONE 7402 C","7402","#edd899"
"PANTONE 7403 C","7403","#f1d384"
"PANTONE 7404 C","7404","#f6da40"
"PANTONE 7405 C","7405","#f3ce00"
"PANTONE 7406 C","7406","#f4c400"
"PANTONE 7407 C","7407","#cda053"
"PANTONE 106 C","106","#fbe446"
"PANTONE 107 C","107","#fee122"
"PANTONE 108 C","108","#ffdb00"
"PANTONE 109 C","109","#ffd200"
"PANTONE 110 C","110","#dbaa00"
"PANTONE 111 C","111","#ab8a00"
"PANTONE 112 C","112","#9d8412"
"PANTONE 113 C","113","#fde052"
"PANTONE 114 C","114","#fddd3f"
"PANTONE 115 C","115","#ffda27"
"PANTONE 116 C","116","#ffce00"
"PANTONE 117 C","117","#cc9800"
"PANTONE 118 C","118","#ae8400"
"PANTONE 119 C","119","#8a7422"
"PANTONE 127 C","127","#f5dc6d"
"PANTONE 128 C","128","#f7d54e"
"PANTONE 129 C","129","#f6cf3e"
"PANTONE 130 C","130","#f6a800"
"PANTONE 131 C","131","#d08a00"
"PANTONE 132 C","132","#a37400"
"PANTONE 133 C","133","#6e571d"
"PANTONE 1205 C","1205","#f9e08e"
"PANTONE 1215 C","1215","#fdd773"
"PANTONE 1225 C","1225","#ffc845"
"PANTONE 1235 C","1235","#ffb81d"
"PANTONE 1245 C","1245","#c99211"
"PANTONE 1255 C","1255","#af8520"
"PANTONE 1265 C","1265","#8a6b26"
"PANTONE 120 C","120","#fedb65"
"PANTONE 121 C","121","#fed857"
"PANTONE 122 C","122","#ffd141"
"PANTONE 123 C","123","#ffc72a"
"PANTONE 124 C","124","#ecaa00"
"PANTONE 125 C","125","#b78500"
"PANTONE 126 C","126","#9d770f"
"PANTONE 7548 C","7548","#ffc700"
"PANTONE 7549 C","7549","#ffb700"
"PANTONE 7550 C","7550","#d39100"
"PANTONE 7551 C","7551","#b57f00"
"PANTONE 7552 C","7552","#75541d"
"PANTONE 7553 C","7553","#5b4622"
"PANTONE 7554 C","7554","#4b3d2b"
"PANTONE 7555 C","7555","#d39f0f"
"PANTONE 7556 C","7556","#b78c1f"
"PANTONE 7557 C","7557","#a17d23"
"PANTONE 7558 C","7558","#977125"
"PANTONE 7559 C","7559","#906a29"
"PANTONE 7560 C","7560","#7f632e"
"PANTONE 7561 C","7561","#6c5d36"
"PANTONE 134 C","134","#ffd26e"
"PANTONE 135 C","135","#ffc658"
"PANTONE 136 C","136","#ffbf3d"
"PANTONE 137 C","137","#ffa500"
"PANTONE 138 C","138","#e17d00"
"PANTONE 139 C","139","#b26e04"
"PANTONE 140 C","140","#75541b"
"PANTONE 1345 C","1345","#fed086"
"PANTONE 1355 C","1355","#ffc66e"
"PANTONE 1365 C","1365","#ffb648"
"PANTONE 1375 C","1375","#ff9f19"
"PANTONE 1385 C","1385","#d87900"
"PANTONE 1395 C","1395","#9c6018"
"PANTONE 1405 C","1405","#704c1d"
"PANTONE 141 C","141","#f5c65d"
"PANTONE 142 C","142","#f4be49"
"PANTONE 143 C","143","#f6b436"
"PANTONE 144 C","144","#f28b00"
"PANTONE 145 C","145","#d57f00"
"PANTONE 146 C","146","#ab6c11"
"PANTONE 147 C","147","#725c29"
"PANTONE 7408 C","7408","#f8bf00"
"PANTONE 7409 C","7409","#f5b324"
"PANTONE 7410 C","7410","#ffaf77"
"PANTONE 7411 C","7411","#eba65e"
"PANTONE 7412 C","7412","#d58332"
"PANTONE 7413 C","7413","#e18533"
"PANTONE 7414 C","7414","#c36d16"
"PANTONE 7562 C","7562","#be9b60"
"PANTONE 7563 C","7563","#d89b2b"
"PANTONE 7564 C","7564","#de8b05"
"PANTONE 7565 C","7565","#cf7b23"
"PANTONE 7566 C","7566","#b06533"
"PANTONE 7567 C","7567","#8b542f"
"PANTONE 7568 C","7568","#795136"
"PANTONE 7569 C","7569","#db8925"
"PANTONE 7570 C","7570","#d7842c"
"PANTONE 7571 C","7571","#ca7d32"
"PANTONE 7572 C","7572","#ba7233"
"PANTONE 7573 C","7573","#a9662b"
"PANTONE 7574 C","7574","#a16a38"
"PANTONE 7575 C","7575","#845d32"
"PANTONE 712 C","712","#fec99b"
"PANTONE 713 C","713","#ffbf86"
"PANTONE 714 C","714","#ffaa62"
"PANTONE 715 C","715","#f98e2b"
"PANTONE 716 C","716","#ed7800"
"PANTONE 717 C","717","#d65f00"
"PANTONE 718 C","718","#c14e00"
"PANTONE 148 C","148","#ffcc8c"
"PANTONE 149 C","149","#ffc37b"
"PANTONE 150 C","150","#ffb35a"
"PANTONE 151 C","151","#ff8400"
"PANTONE 152 C","152","#e97300"
"PANTONE 153 C","153","#c16b13"
"PANTONE 154 C","154","#9d5a18"
"PANTONE 155 C","155","#f2d1a0"
"PANTONE 156 C","156","#f2bd7d"
"PANTONE 157 C","157","#f1a055"
"PANTONE 158 C","158","#ee7624"
"PANTONE 159 C","159","#d25f15"
"PANTONE 160 C","160","#a5551c"
"PANTONE 161 C","161","#633d21"
"PANTONE 1485 C","1485","#ffae60"
"PANTONE 1495 C","1495","#ff9016"
"PANTONE 1505 C","1505","#ff6c00"
"PANTONE Orange 021 C","orange-021","#ff5200"
"PANTONE 1525 C","1525","#bc4800"
"PANTONE 1535 C","1535","#96460a"
"PANTONE 1545 C","1545","#673918"
"PANTONE 1555 C","1555","#ffba8f"
"PANTONE 1565 C","1565","#ffa269"
"PANTONE 1575 C","1575","#ff8030"
"PANTONE 1585 C","1585","#ff6d0f"
"PANTONE 1595 C","1595","#dc6016"
"PANTONE 1605 C","1605","#a85623"
"PANTONE 1615 C","1615","#8e4820"
"PANTONE 162 C","162","#ffbf9f"
"PANTONE 163 C","163","#ff9e6d"
"PANTONE 164 C","164","#ff8041"
"PANTONE 165 C","165","#ff681d"
"PANTONE 166 C","166","#e65400"
"PANTONE 167 C","167","#c1531b"
"PANTONE 168 C","168","#75391c"
"PANTONE 7576 C","7576","#e08650"
"PANTONE 7577 C","7577","#e57e3e"
"PANTONE 7578 C","7578","#e06b2f"
"PANTONE 7579 C","7579","#e0592b"
"PANTONE 7580 C","7580","#c35131"
"PANTONE 7581 C","7581","#894934"
"PANTONE 7582 C","7582","#694735"
"PANTONE 1625 C","1625","#ffa489"
"PANTONE 1635 C","1635","#ff8e6c"
"PANTONE 1645 C","1645","#ff6d37"
"PANTONE 1655 C","1655","#ff4e00"
"PANTONE 1665 C","1665","#e14504"
"PANTONE 1675 C","1675","#ac451e"
"PANTONE 1685 C","1685","#863a20"
"PANTONE 169 C","169","#ffb5ab"
"PANTONE 170 C","170","#ff8772"
"PANTONE 171 C","171","#ff5c36"
"PANTONE 172 C","172","#ff4814"
"PANTONE 173 C","173","#d3461e"
"PANTONE 174 C","174","#993921"
"PANTONE 175 C","175","#6d3628"
"PANTONE 7583 C","7583","#c9612d"
"PANTONE 7584 C","7584","#c05727"
"PANTONE 7585 C","7585","#b45b38"
"PANTONE 7586 C","7586","#a25231"
"PANTONE 7587 C","7587","#954b2e"
"PANTONE 7588 C","7588","#7e4c37"
"PANTONE 7589 C","7589","#5e4638"
"PANTONE 7590 C","7590","#d6b59f"
"PANTONE 7591 C","7591","#c57d5a"
"PANTONE 7592 C","7592","#b65434"
"PANTONE 7593 C","7593","#a2412b"
"PANTONE 7594 C","7594","#7f3a2d"
"PANTONE 7595 C","7595","#6e3d30"
"PANTONE 7596 C","7596","#5e3d32"
"PANTONE 7597 C","7597","#d64123"
"PANTONE 7598 C","7598","#c24729"
"PANTONE 7599 C","7599","#b73e25"
"PANTONE 7600 C","7600","#903f2c"
"PANTONE 7601 C","7601","#85422c"
"PANTONE 7602 C","7602","#7d4a32"
"PANTONE 7603 C","7603","#694230"
"PANTONE 7604 C","7604","#e6d5d4"
"PANTONE 7605 C","7605","#e4bab4"
"PANTONE 7606 C","7606","#db918a"
"PANTONE 7607 C","7607","#c86d62"
"PANTONE 7608 C","7608","#a9483e"
"PANTONE 7609 C","7609","#873a35"
"PANTONE 7610 C","7610","#6b3332"
"PANTONE 7611 C","7611","#e0bcb0"
"PANTONE 7612 C","7612","#cc9a8e"
"PANTONE 7613 C","7613","#bf897f"
"PANTONE 7614 C","7614","#a57f74"
"PANTONE 7615 C","7615","#896761"
"PANTONE 7616 C","7616","#6d4c4c"
"PANTONE 7617 C","7617","#593d3d"
"PANTONE 7520 C","7520","#ecbfb0"
"PANTONE 7521 C","7521","#c49b83"
"PANTONE 7522 C","7522","#b96a55"
"PANTONE 7523 C","7523","#ae5d57"
"PANTONE 7524 C","7524","#a85348"
"PANTONE 7525 C","7525","#9e6950"
"PANTONE 7526 C","7526","#8c3b1a"
"PANTONE 489 C","489","#f0c2b3"
"PANTONE 488 C","488","#f0b9aa"
"PANTONE 487 C","487","#f0a794"
"PANTONE 486 C","486","#ef907c"
"PANTONE 485 C","485","#e1261c"
"PANTONE 484 C","484","#9f3224"
"PANTONE 483 C","483","#683025"
"PANTONE 176 C","176","#ffb2b9"
"PANTONE 177 C","177","#ff828a"
"PANTONE 178 C","178","#ff5a5a"
"PANTONE Warm Red C","warm-red","#ff4539"
"PANTONE 179 C","179","#e53e30"
"PANTONE 180 C","180","#c33c33"
"PANTONE 181 C","181","#84332e"
"PANTONE 1765 C","1765","#ffa5b5"
"PANTONE 1775 C","1775","#ff8fa0"
"PANTONE 1785 C","1785","#fe4a5d"
"PANTONE 1788 C","1788","#f32836"
"PANTONE 1795 C","1795","#d8292f"
"PANTONE 1805 C","1805","#b2292e"
"PANTONE 1815 C","1815","#802629"
"PANTONE 1767 C","1767","#ffb0c0"
"PANTONE 1777 C","1777","#ff647e"
"PANTONE 1787 C","1787","#fa364a"
"PANTONE Red 032 C","red-032","#f63440"
"PANTONE 1797 C","1797","#d0343a"
"PANTONE 1807 C","1807","#a8353a"
"PANTONE 1817 C","1817","#663334"
"PANTONE 7618 C","7618","#cb6d4f"
"PANTONE 7619 C","7619","#c64c38"
"PANTONE 7620 C","7620","#bd302c"
"PANTONE 7621 C","7621","#b12029"
"PANTONE 7622 C","7622","#97272c"
"PANTONE 7623 C","7623","#8f2a2b"
"PANTONE 7624 C","7624","#852e2c"
"PANTONE 7625 C","7625","#e8503e"
"PANTONE 7626 C","7626","#cb3725"
"PANTONE 7627 C","7627","#aa2d2a"
"PANTONE 7628 C","7628","#a22b2a"
"PANTONE 7629 C","7629","#6f3332"
"PANTONE 7630 C","7630","#653231"
"PANTONE 7631 C","7631","#592e2d"
"PANTONE 7415 C","7415","#e9b9a7"
"PANTONE 7416 C","7416","#ea6953"
"PANTONE 7417 C","7417","#e74c39"
"PANTONE 7418 C","7418","#d1555a"
"PANTONE 7419 C","7419","#b24c5a"
"PANTONE 7420 C","7420","#9f2241"
"PANTONE 7421 C","7421","#691c33"
"PANTONE 182 C","182","#febccb"
"PANTONE 183 C","183","#ff9cb2"
"PANTONE 184 C","184","#fc5474"
"PANTONE 185 C","185","#ea002a"
"PANTONE 186 C","186","#cf0f2d"
"PANTONE 187 C","187","#ab192d"
"PANTONE 188 C","188","#79242f"
"PANTONE 196 C","196","#eec7ce"
"PANTONE 197 C","197","#ed9cad"
"PANTONE 198 C","198","#e64461"
"PANTONE 199 C","199","#dc0032"
"PANTONE 200 C","200","#c20430"
"PANTONE 201 C","201","#a32136"
"PANTONE 202 C","202","#8a2432"
"PANTONE 189 C","189","#fda4bc"
"PANTONE 190 C","190","#fa7699"
"PANTONE 191 C","191","#f4436d"
"PANTONE 192 C","192","#eb0045"
"PANTONE 193 C","193","#c50e3c"
"PANTONE 194 C","194","#9f2943"
"PANTONE 195 C","195","#7b303f"
"PANTONE 1895 C","1895","#f8b6cd"
"PANTONE 1905 C","1905","#f99bbb"
"PANTONE 1915 C","1915","#f54d80"
"PANTONE 1925 C","1925","#e8004c"
"PANTONE 1935 C","1935","#cb003d"
"PANTONE 1945 C","1945","#ac0b3d"
"PANTONE 1955 C","1955","#8e1537"
"PANTONE 705 C","705","#f7dbe0"
"PANTONE 706 C","706","#f7ced8"
"PANTONE 707 C","707","#fab6c4"
"PANTONE 708 C","708","#fc92a4"
"PANTONE 709 C","709","#f36279"
"PANTONE 710 C","710","#e63f52"
"PANTONE 711 C","711","#d02c30"
"PANTONE 698 C","698","#f5d4d7"
"PANTONE 699 C","699","#f6c3cb"
"PANTONE 700 C","700","#f6adb9"
"PANTONE 701 C","701","#e98698"
"PANTONE 702 C","702","#d75d73"
"PANTONE 703 C","703","#bd3c4b"
"PANTONE 704 C","704","#a12b2f"
