"PANTONE Yellow U","yellow","#ffe800"
"PANTONE Yellow 012 U","yellow-012","#ffe100"
"PANTONE Orange 021 U","orange-021","#ff6d2e"
"PANTONE Warm Red U","warm-red","#ff685e"
"PANTONE Red 032 U","red-032","#fc5158"
"PANTONE Rubine Red U","rubine-red","#e3467e"
"PANTONE Rhodamine Red U","rhodamine-red","#ea4e98"
"PANTONE Purple U","purple","#c553b5"
"PANTONE Violet U","violet","#775ab1"
"PANTONE Blue 072 U","blue-072","#3b45ac"
"PANTONE Reflex Blue U","reflex-blue","#374a9c"
"PANTONE Process Blue U","process-blue","#0082c4"
"PANTONE Green U","green","#00aa90"
"PANTONE Black U","black","#625e59"
"PANTONE Yellow 0131 U","yellow-0131","#fcf59c"
"PANTONE Red 0331 U","red-0331","#ffb2be"
"PANTONE Magenta 0521 U","magenta-0521","#fbaadd"
"PANTONE Violet 0631 U","violet-0631","#bc94de"
"PANTONE Blue 0821 U","blue-0821","#67d0ee"
"PANTONE Green 0921 U","green-0921","#72e5d2"
"PANTONE Black 0961 U","black-0961","#9d9995"
"PANTONE 801 U","801","#009acf"
"PANTONE 802 U","802","#2bd03e"
"PANTONE 803 U","803","#ffe918"
"PANTONE 804 U","804","#ffac53"
"PANTONE 805 U","805","#ff7377"
"PANTONE 806 U","806","#ff4ab0"
"PANTONE 807 U","807","#ed3cbf"
"PANTONE 871 U","871","#ae986e"
"PANTONE 872 U","872","#ad936d"
"PANTONE 873 U","873","#af8f6f"
"PANTONE 874 U","874","#af8f6f"
"PANTONE 875 U","875","#b38c74"
"PANTONE 876 U","876","#b18770"
"PANTONE 877 U","877","#b4b7b8"
"PANTONE Medium Yellow U","medium-yellow","#ffe200"
"PANTONE Bright Orange U","bright-orange","#ff7333"
"PANTONE Bright Red U","bright-red","#ff5541"
"PANTONE Strong Red U","strong-red","#d93969"
"PANTONE Pink U","pink","#d7428c"
"PANTONE Medium Purple U","medium-purple","#654389"
"PANTONE Dark Blue U","dark-blue","#434895"
"PANTONE Medium Blue U","medium-blue","#0085c9"
"PANTONE Bright Green U","bright-green","#00ac92"
"PANTONE Neutral Black U","neutral-black","#4c4846"
"PANTONE 100 U","100","#fff280"
"PANTONE 101 U","101","#fff166"
"PANTONE 102 U","102","#ffec2c"
"PANTONE Yellow U","yellow","#ffe800"
"PANTONE 103 U","103","#b69e28"
"PANTONE 104 U","104","#9c8d3a"
"PANTONE 105 U","105","#7d7548"
"PANTONE 7401 U","7401","#ffe5a5"
"PANTONE 7402 U","7402","#f6da9a"
"PANTONE 7403 U","7403","#f7ce80"
"PANTONE 7404 U","7404","#ffcf43"
"PANTONE 7405 U","7405","#e8b10e"
"PANTONE 7406 U","7406","#f3b927"
"PANTONE 7407 U","7407","#cda36e"
"PANTONE 106 U","106","#ffeb68"
"PANTONE 107 U","107","#ffe651"
"PANTONE 108 U","108","#ffdd33"
"PANTONE 109 U","109","#ffc700"
"PANTONE 110 U","110","#ce9f27"
"PANTONE 111 U","111","#9d873b"
"PANTONE 112 U","112","#8b7a3e"
"PANTONE 113 U","113","#ffe05e"
"PANTONE 114 U","114","#ffda4a"
"PANTONE 115 U","115","#ffcf2e"
"PANTONE 116 U","116","#ffb609"
"PANTONE 117 U","117","#b88d31"
