"PANTONE Yellow U","yellow","#ffe600"
"PANTONE Yellow 012 U","yellow-012","#ffdb00"
"PANTONE Orange 021 U","orange-021","#ff7532"
"PANTONE Warm Red U","warm-red","#ff625a"
"PANTONE Red 032 U","red-032","#f95461"
"PANTONE Rubine Red U","rubine-red","#db487e"
"PANTONE Rhodamine Red U","rhodamine-red","#e854a1"
"PANTONE Purple U","purple","#c356bb"
"PANTONE Violet U","violet","#7659b0"
"PANTONE Blue 072 U","blue-072","#3546a6"
"PANTONE Reflex Blue U","reflex-blue","#344893"
"PANTONE Process Blue U","process-blue","#0082c7"
"PANTONE Green U","green","#00a78b"
"PANTONE Black U","black","#625b56"
"PANTONE Process Yellow U","process-yellow","#ffe621"
"PANTONE Process Magenta U","process-magenta","#de4c85"
"PANTONE Process Cyan U","process-cyan","#009dd8"
"PANTONE Process Black U","process-black","#545251"
"PANTONE Hexachrome Yellow U","hexachrome-yellow","#ffe309"
"PANTONE Hexachrome Orange U","hexachrome-orange","#ff8037"
"PANTONE Hexachrome Magenta U","hexachrome-magenta","#e54091"
"PANTONE Hexachrome Cyan U","hexachrome-cyan","#0095d3"
"PANTONE Hexachrome Green U","hexachrome-green","#00af67"
"PANTONE Hexachrome Black U","hexachrome-black","#514f4e"
"PANTONE 100 U","100","#fbee78"
"PANTONE 101 U","101","#fdef66"
"PANTONE 102 U","102","#ffeb33"
"PANTONE Yellow U","yellow","#ffe600"
"PANTONE 103 U","103","#b9a32a"
"PANTONE 104 U","104","#9a8b38"
"PANTONE 105 U","105","#827a4b"
"PANTONE 106 U","106","#ffe963"
"PANTONE 107 U","107","#ffe553"
"PANTONE 108 U","108","#ffdd3c"
"PANTONE 109 U","109","#ffc800"
"PANTONE 110 U","110","#cea128"
"PANTONE 111 U","111","#9e8739"
"PANTONE 112 U","112","#8a7a3e"
"PANTONE 113 U","113","#ffe260"
"PANTONE 114 U","114","#ffdb52"
"PANTONE 115 U","115","#ffd141"
"PANTONE 116 U","116","#ffbd15"
"PANTONE 117 U","117","#ba9131"
"PANTONE 118 U","118","#a28539"
"PANTONE 119 U","119","#867849"
"PANTONE 120 U","120","#ffdb6c"
"PANTONE 121 U","121","#ffd462"
"PANTONE 122 U","122","#ffc54e"
"PANTONE 123 U","123","#ffb12c"
"PANTONE 124 U","124","#e19630"
"PANTONE 125 U","125","#a8833e"
"PANTONE 126 U","126","#937942"
"PANTONE 1205 U","1205","#ffe89e"
"PANTONE 1215 U","1215","#ffe089"
"PANTONE 1225 U","1225","#ffbf58"
"PANTONE 1235 U","1235","#ffae3d"
"PANTONE 1245 U","1245","#be9045"
"PANTONE 1255 U","1255","#a28349"
"PANTONE 1265 U","1265","#8e784d"
"PANTONE 127 U","127","#fbe17f"
"PANTONE 128 U","128","#fcd365"
"PANTONE 129 U","129","#fcb446"
"PANTONE 130 U","130","#f99a32"
"PANTONE 131 U","131","#c78733"
"PANTONE 132 U","132","#98783a"
"PANTONE 133 U","133","#786a43"
"PANTONE 134 U","134","#ffd57d"
"PANTONE 135 U","135","#ffc76b"
"PANTONE 136 U","136","#ffaf50"
"PANTONE 137 U","137","#ffa03b"
"PANTONE 138 U","138","#dd8235"
"PANTONE 139 U","139","#a9763d"
"PANTONE 140 U","140","#856f48"
"PANTONE 1345 U","1345","#ffd491"
"PANTONE 1355 U","1355","#ffca81"
"PANTONE 1365 U","1365","#ffb160"
"PANTONE 1375 U","1375","#ff9c46"
"PANTONE 1385 U","1385","#d28142"
"PANTONE 1395 U","1395","#9d7246"
"PANTONE 1405 U","1405","#806848"
"PANTONE 141 U","141","#fcc16c"
"PANTONE 142 U","142","#fab05d"
"PANTONE 143 U","143","#f9a251"
"PANTONE 144 U","144","#f58c42"
"PANTONE 145 U","145","#ca7d3f"
"PANTONE 146 U","146","#9d7241"
"PANTONE 147 U","147","#7a6c4e"
"PANTONE 148 U","148","#ffc888"
"PANTONE 149 U","149","#ffb975"
"PANTONE 150 U","150","#ff9650"
"PANTONE 151 U","151","#ff8942"
"PANTONE 152 U","152","#e2783e"
"PANTONE 153 U","153","#ae6c42"
"PANTONE 154 U","154","#936744"
"PANTONE 1485 U","1485","#ffaa6d"
"PANTONE 1495 U","1495","#ff9756"
"PANTONE 1505 U","1505","#ff8640"
"PANTONE Orange 021 U","orange-021","#ff7532"
"PANTONE 1525 U","1525","#c8693b"
"PANTONE 1535 U","1535","#9d6643"
"PANTONE 1545 U","1545","#7a5d46"
"PANTONE 155 U","155","#f8ce99"
"PANTONE 156 U","156","#f7ba85"
"PANTONE 157 U","157","#f49463"
"PANTONE 158 U","158","#ef7e50"
"PANTONE 159 U","159","#cf744a"
"PANTONE 160 U","160","#a26b48"
"PANTONE 161 U","161","#7e654c"
"PANTONE 1555 U","1555","#ffc6a6"
"PANTONE 1565 U","1565","#ffae87"
"PANTONE 1575 U","1575","#ff976d"
"PANTONE 1585 U","1585","#ff8454"
"PANTONE 1595 U","1595","#d5704b"
"PANTONE 1605 U","1605","#a56a4e"
"PANTONE 1615 U","1615","#93654e"
"PANTONE 162 U","162","#ffc1a1"
"PANTONE 163 U","163","#ff9d78"
"PANTONE 164 U","164","#ff8761"
"PANTONE 165 U","165","#ff774e"
"PANTONE 166 U","166","#e36d4a"
"PANTONE 167 U","167","#b8664c"
"PANTONE 168 U","168","#8b604e"
"PANTONE 1625 U","1625","#ffa58d"
"PANTONE 1635 U","1635","#ff967d"
"PANTONE 1645 U","1645","#ff8468"
"PANTONE 1655 U","1655","#ff7352"
"PANTONE 1665 U","1665","#e3674b"
"PANTONE 1675 U","1675","#ac634f"
"PANTONE 1685 U","1685","#945f4e"
"PANTONE 169 U","169","#ffb9ae"
"PANTONE 170 U","170","#ff9081"
"PANTONE 171 U","171","#ff7967"
"PANTONE 172 U","172","#ff6a51"
"PANTONE 173 U","173","#d06351"
"PANTONE 174 U","174","#9e5b4c"
"PANTONE 175 U","175","#845c51"
"PANTONE 176 U","176","#ffb3b9"
"PANTONE 177 U","177","#ff8e92"
"PANTONE 178 U","178","#ff7777"
"PANTONE Warm Red U","warm-red","#ff625a"
"PANTONE 179 U","179","#e25e58"
"PANTONE 180 U","180","#bf5d5a"
"PANTONE 181 U","181","#8c5753"
"PANTONE 1765 U","1765","#ffa5b2"
"PANTONE 1775 U","1775","#ff8b98"
"PANTONE 1785 U","1785","#ff6772"
"PANTONE 1788 U","1788","#fb5e63"
"PANTONE 1795 U","1795","#dc5a5d"
"PANTONE 1805 U","1805","#b15655"
"PANTONE 1815 U","1815","#925554"
"PANTONE 1767 U","1767","#ffb8c5"
"PANTONE 1777 U","1777","#ff8192"
"PANTONE 1787 U","1787","#ff6777"
"PANTONE Red 032 U","red-032","#f95461"
"PANTONE 1797 U","1797","#cf545c"
"PANTONE 1807 U","1807","#aa585f"
"PANTONE 1817 U","1817","#775454"
"PANTONE 182 U","182","#ffb8c5"
"PANTONE 183 U","183","#ff8fa3"
"PANTONE 184 U","184","#fe7183"
"PANTONE 185 U","185","#f24e61"
"PANTONE 186 U","186","#d3515e"
"PANTONE 187 U","187","#b3525b"
"PANTONE 188 U","188","#8a5359"
"PANTONE 189 U","189","#ffa8bc"
"PANTONE 190 U","190","#ff859e"
"PANTONE 191 U","191","#f86780"
"PANTONE 192 U","192","#ef4f68"
"PANTONE 193 U","193","#c14e5f"
"PANTONE 194 U","194","#9d515d"
"PANTONE 195 U","195","#83545a"
"PANTONE 1895 U","1895","#ffb0c6"
"PANTONE 1905 U","1905","#fd96b2"
